product_id,product_name,category,price,stock_level
1,Product_1,Beauty,218.6,897
2,Product_2,Beauty,9.48,452
3,Product_3,Home,302.89,292
4,Product_4,Electronics,479.12,391
5,Product_5,Electronics,258.74,752
6,Product_6,Beauty,480.52,116
7,Product_7,Home,371.42,512
8,Product_8,Sports,461.22,402
9,Product_9,Beauty,444.71,946
10,Product_10,Electronics,332.1,655
11,Product_11,Home,467.0,418
12,Product_12,Clothing,243.19,131
13,Product_13,Sports,258.32,706
14,Product_14,Sports,58.75,471
15,Product_15,Clothing,284.76,489
16,Product_16,Clothing,424.56,516
17,Product_17,Electronics,9.53,158
18,Product_18,Clothing,70.29,216
19,Product_19,Toys,277.77,228
20,Product_20,Electronics,395.99,687
21,Product_21,Toys,120.42,994
22,Product_22,Home,382.4,272
23,Product_23,Electronics,348.81,222
24,Product_24,Beauty,468.94,483
25,Product_25,Beauty,374.95,482
26,Product_26,Beauty,121.03,478
27,Product_27,Toys,32.93,19
28,Product_28,Beauty,200.13,577
29,Product_29,Clothing,37.17,543
30,Product_30,Clothing,334.69,485
31,Product_31,Beauty,498.46,223
32,Product_32,Home,20.67,899
33,Product_33,Home,13.16,81
34,Product_34,Sports,88.51,420
35,Product_35,Home,205.55,126
36,Product_36,Home,450.99,969
37,Product_37,Toys,460.1,449
38,Product_38,Beauty,222.16,20
39,Product_39,Beauty,451.75,346
40,Product_40,Sports,375.05,86
41,Product_41,Electronics,251.9,255
42,Product_42,Clothing,143.19,332
43,Product_43,Clothing,224.67,145
44,Product_44,Clothing,105.98,64
45,Product_45,Sports,252.74,335
46,Product_46,Home,200.43,151
47,Product_47,Toys,283.54,344
48,Product_48,Beauty,174.76,634
49,Product_49,Home,93.57,371
50,Product_50,Electronics,36.81,70
51,Product_51,Home,380.04,884
52,Product_52,Clothing,384.13,764
53,Product_53,Clothing,225.64,416
54,Product_54,Beauty,99.19,360
55,Product_55,Toys,316.93,850
56,Product_56,Toys,213.74,833
57,Product_57,Home,365.08,703
58,Product_58,Beauty,289.18,511
59,Product_59,Beauty,43.39,115
60,Product_60,Sports,178.39,957
61,Product_61,Sports,440.1,92
62,Product_62,Electronics,62.27,616
63,Product_63,Home,232.43,316
64,Product_64,Electronics,428.73,257
65,Product_65,Toys,384.18,72
66,Product_66,Sports,380.46,309
67,Product_67,Home,216.61,543
68,Product_68,Home,116.56,325
69,Product_69,Toys,379.21,157
70,Product_70,Sports,241.64,537
71,Product_71,Electronics,328.29,791
72,Product_72,Sports,497.34,305
73,Product_73,Electronics,13.17,341
74,Product_74,Sports,104.71,933
75,Product_75,Electronics,191.4,760
76,Product_76,Clothing,153.02,755
77,Product_77,Beauty,38.93,512
78,Product_78,Sports,30.17,455
79,Product_79,Home,197.51,929
80,Product_80,Home,70.38,229
81,Product_81,Toys,348.53,777
82,Product_82,Clothing,117.05,314
83,Product_83,Beauty,394.59,34
84,Product_84,Sports,291.76,546
85,Product_85,Home,29.16,517
86,Product_86,Clothing,493.05,985
87,Product_87,Home,85.55,629
88,Product_88,Clothing,436.82,695
89,Product_89,Clothing,115.25,146
90,Product_90,Toys,320.0,264
91,Product_91,Sports,430.75,264
92,Product_92,Clothing,180.57,209
93,Product_93,Beauty,421.93,95
94,Product_94,Beauty,492.28,179
95,Product_95,Home,355.08,682
96,Product_96,Toys,50.39,969
97,Product_97,Toys,231.34,44
98,Product_98,Toys,462.37,210
99,Product_99,Home,441.25,854
100,Product_100,Toys,82.74,902
